usuario,texto,entidade_mencionada,score_sentimento
f436cb6f-b331-4a0c-ba41-567a1f74ef05,o pão de queijo do coffee break esrta muito bom,Break,0.4588
f436cb6f-b331-4a0c-ba41-567a1f74ef05,o pão de queijo do coffee break esrta muito bom,Coffee,0.4588
f436cb6f-b331-4a0c-ba41-567a1f74ef05,o pão de queijo do coffee break esrta muito bom,Pao,0.4588
5c812191-4a89-40c2-ad20-11d17bed69a1,muito produtivo as palestras,Palestras,0.0
5c812191-4a89-40c2-ad20-11d17bed69a1,fiz muito network com as pessoas,Pessoas,0.0
5c812191-4a89-40c2-ad20-11d17bed69a1,aprendi um pouco sobre possibilidades para meu futuro,Futuro,-0.0865
5c812191-4a89-40c2-ad20-11d17bed69a1,aprendi um pouco sobre possibilidades para meu futuro,Possibilidades,-0.0865
b062d0fa-ab85-4add-a5ec-4129e1e22c4c,amanda a secom,Secom,0.0
700f7b0c-46a5-4f88-b605-7015d0660e2b,esperando o coffe break,Coffe,0.0
700f7b0c-46a5-4f88-b605-7015d0660e2b,palestras muito boas,Palestras,0.4588
f436cb6f-b331-4a0c-ba41-567a1f74ef05,parece muito interessante essa empresa unior setapp,Empresa,0.4019
02af807d-7123-444e-b61e-89eaf92be60f,fui amassado na maratona,Maratona,0.0
c9e2374f-bf33-4003-b871-6ecb5ae22aee,doido pra ver as palestras,Palestras,0.0
02af807d-7123-444e-b61e-89eaf92be60f,ansioso pelas palestras de tarde,Palestras,0.3612
02af807d-7123-444e-b61e-89eaf92be60f,ansioso pelas palestras de tarde,Tarde,0.3612
