usuario,texto,entidade_mencionada
a5551753-5cda-4641-bc94-7d92707ef19c,provavelmente a palestra com ex-alunos no mercado de trabalho é um dos melhores momentos dessa secom,Secom
a5551753-5cda-4641-bc94-7d92707ef19c,um minicurso com soft skills seria bem interessante para uma próxima secom,Soft
a5551753-5cda-4641-bc94-7d92707ef19c,um minicurso com soft skills seria bem interessante para uma próxima secom,Minicurso
a5551753-5cda-4641-bc94-7d92707ef19c,um minicurso com soft skills seria bem interessante para uma próxima secom,Secom
5bc436a4-ec67-4216-87a7-d9152877d21f,mesa redonda foi mt legal,Mesa
30a1d1e4-da0d-4f67-9908-6bc16a47ebc4,myito bo,Mymobconf
8b532002-32a9-47b8-a068-f68ebed037cd,mudaram a temperatura,Temperatura
99899b5a-eb3d-4d67-a64f-a143f824a709,ansioso pelos próximos dias,Secom
7064b0be-2b69-4b72-b749-c7057e244714,amei a roda de conversa,Conversa
7064b0be-2b69-4b72-b749-c7057e244714,amei a roda de conversa,Roda
99899b5a-eb3d-4d67-a64f-a143f824a709,game jam no hype,Gamejam
99899b5a-eb3d-4d67-a64f-a143f824a709,game jam no hype,Hype
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,boa sorte na maratona,Maratona
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,boa sorte na maratona,Secom
12c8e1ec-c662-415a-b106-b64ccb7ece3f,faltou o check-in para a gamejam,Gamejam
12c8e1ec-c662-415a-b106-b64ccb7ece3f,muito legal ter 2 dias para realização da gamejam esse ano,Gamejam
12c8e1ec-c662-415a-b106-b64ccb7ece3f,muito legal ter 2 dias para realização da gamejam esse ano,Secom
226440c8-ce0c-42b8-a37b-8435e915955d,a maratona foi ótima,Maratona
86cb75a4-c315-4d9a-9289-8ea110fc8799,ansioso pro coffee break,Pro
86cb75a4-c315-4d9a-9289-8ea110fc8799,ansioso pro coffee break,Break
9aa2b218-1ce5-4019-8e59-cefd44bc9866,eu quero a bolsa,Bolsa
86cb75a4-c315-4d9a-9289-8ea110fc8799,bom vídeo do cifrasclub,Video
86cb75a4-c315-4d9a-9289-8ea110fc8799,bom vídeo do cifrasclub,Mesa
9aa2b218-1ce5-4019-8e59-cefd44bc9866,"obrigado gláucia, pela linda festa",Glaucia
9aa2b218-1ce5-4019-8e59-cefd44bc9866,vamos trojan,Trojan
548430cf-9b95-4cde-93c2-547a80cdd20e,a maratona foi ótima,Maratona
99899b5a-eb3d-4d67-a64f-a143f824a709,coffe break da game jam foi o melhor 😋,Coffe
99899b5a-eb3d-4d67-a64f-a143f824a709,coffe break da game jam foi o melhor 😋,Secom
99899b5a-eb3d-4d67-a64f-a143f824a709,coffe break da game jam foi o melhor 😋,Gamejam
71ec2c5f-212f-479f-bcb4-75bef259f870,"muitos participantes não vão conseguir chegar pra abertura, fila do ru está muito lenta",Participantes
71ec2c5f-212f-479f-bcb4-75bef259f870,"muitos participantes não vão conseguir chegar pra abertura, fila do ru está muito lenta",Abertura
71ec2c5f-212f-479f-bcb4-75bef259f870,"muitos participantes não vão conseguir chegar pra abertura, fila do ru está muito lenta",Mesa
ef513315-04b4-49b0-ae60-0cfd18608054,muito divertido a maratona,Maratona
47cacf3f-e0f2-421b-a645-5e0efd6cc615,fila do ru tirando um checkin meu,Check-ins
47cacf3f-e0f2-421b-a645-5e0efd6cc615,fila do ru tirando um checkin meu,Mesa
070db213-148d-45f2-8d8a-a0533d8ed2b1,grandes espectativas,Secom
7d582411-e617-4105-8edf-bca7ee066eca,gostei bastante da maratona,Maratona
43aca24c-d788-497e-8521-06df728eeaf8,"a maratona foi muito boa, bem concorrido",Maratona
43aca24c-d788-497e-8521-06df728eeaf8,não deu pra almoçar pós maratona,Maratona
15ae4086-4952-4aac-a16b-5c2852e5e523,"boa tarde, gente",Tarde
a9d36446-c85c-43d3-bccf-8084d2231951,apresentação da setapp muito boa,Palestras
a9d36446-c85c-43d3-bccf-8084d2231951,apresentação da setapp muito boa,Setapp
43aca24c-d788-497e-8521-06df728eeaf8,a todo vapor na gamejam,Gamejam
15ae4086-4952-4aac-a16b-5c2852e5e523,os eventos estão bem legais até agora,Eventos
a9d36446-c85c-43d3-bccf-8084d2231951,fiquei muito interessado pela empresa júnior setapp,Empresa
15ae4086-4952-4aac-a16b-5c2852e5e523,esperando pelo próximo cofee-break já,Cofee-break
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,a maratona foi legal dmss,Dms
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,a maratona foi legal dmss,Maratona
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,queria mesa redonda todos os dias :(,Secom
40e23675-8f02-4354-a49c-3a3e0f6c2687,"palestras são muito boas, criativas",Palestras
40e23675-8f02-4354-a49c-3a3e0f6c2687,"palestras são muito boas, criativas",Inovadores
40e23675-8f02-4354-a49c-3a3e0f6c2687,realmente são muito importantes para a formação para o mercado de trabalho,Mercado
40e23675-8f02-4354-a49c-3a3e0f6c2687,realmente são muito importantes para a formação para o mercado de trabalho,Secom
40e23675-8f02-4354-a49c-3a3e0f6c2687,realmente são muito importantes para a formação para o mercado de trabalho,Trabalho
19f49226-5a60-463b-85d3-ac562e4eddc4,triste por perder algumas palestras,Palestras
32724cee-7c33-4b98-a90c-4d0203f9d84a,como faço para participar da empresa junior,Empresa
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,setapp maior do brasil,Brasil
19f49226-5a60-463b-85d3-ac562e4eddc4,espero que a maratona não tenha uns prêmios tão melhores que a gamejam dessa vez hahahaha,Premios
19f49226-5a60-463b-85d3-ac562e4eddc4,espero que a maratona não tenha uns prêmios tão melhores que a gamejam dessa vez hahahaha,Gamejam
19f49226-5a60-463b-85d3-ac562e4eddc4,espero que a maratona não tenha uns prêmios tão melhores que a gamejam dessa vez hahahaha,Maratona
32724cee-7c33-4b98-a90c-4d0203f9d84a,como empresa junior contribui para minha carreira profissional,Empresa
32724cee-7c33-4b98-a90c-4d0203f9d84a,como empresa junior contribui para minha carreira profissional,Carreira
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,sorteia camisa da setapp😋,Camisa
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,sorteia camisa da setapp😋,Setapp
b062d0fa-ab85-4add-a5ec-4129e1e22c4c,coffe break muito bom,Coffe
b062d0fa-ab85-4add-a5ec-4129e1e22c4c,ótima programação,Programacao
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,sorteia camisa de,Camisa
9ac1b61d-2b3d-4c00-9a56-6a31d2be082b,espero que a internet funcione,Internet
9ac1b61d-2b3d-4c00-9a56-6a31d2be082b,espero que a internet funcione,Secom
9ac1b61d-2b3d-4c00-9a56-6a31d2be082b,vai ter picolé hoje também,Secom
e2b6d403-470e-4752-8767-48575bb10c67,maratona foi dahora,Maratona
19f49226-5a60-463b-85d3-ac562e4eddc4,"o formato de mesa redonda ontem foi bem legal, seria interessante ter mais vezes",Formato
19f49226-5a60-463b-85d3-ac562e4eddc4,"o formato de mesa redonda ontem foi bem legal, seria interessante ter mais vezes",Tarde
19f49226-5a60-463b-85d3-ac562e4eddc4,"o formato de mesa redonda ontem foi bem legal, seria interessante ter mais vezes",Mesa
e2b6d403-470e-4752-8767-48575bb10c67,podia ter mais atrações como a mesa redonda,Mesa
e2b6d403-470e-4752-8767-48575bb10c67,podia ter mais atrações como a mesa redonda,Atracoes
f436cb6f-b331-4a0c-ba41-567a1f74ef05,o pão de queijo do coffee break esrta muito bom,Queijo
f436cb6f-b331-4a0c-ba41-567a1f74ef05,o pão de queijo do coffee break esrta muito bom,Coffee
f436cb6f-b331-4a0c-ba41-567a1f74ef05,o pão de queijo do coffee break esrta muito bom,Break
f436cb6f-b331-4a0c-ba41-567a1f74ef05,o pão de queijo do coffee break esrta muito bom,Paias
5c812191-4a89-40c2-ad20-11d17bed69a1,muito produtivo as palestras,Palestras
5c812191-4a89-40c2-ad20-11d17bed69a1,fiz muito network com as pessoas,Pessoal
5c812191-4a89-40c2-ad20-11d17bed69a1,aprendi um pouco sobre possibilidades para meu futuro,Possibilidades
5c812191-4a89-40c2-ad20-11d17bed69a1,aprendi um pouco sobre possibilidades para meu futuro,Futuro
b062d0fa-ab85-4add-a5ec-4129e1e22c4c,amanda a secom,Secom
700f7b0c-46a5-4f88-b605-7015d0660e2b,esperando o coffe break,Coffe
700f7b0c-46a5-4f88-b605-7015d0660e2b,palestras muito boas,Palestras
f436cb6f-b331-4a0c-ba41-567a1f74ef05,parece muito interessante essa empresa unior setapp,Empresa
02af807d-7123-444e-b61e-89eaf92be60f,fui amassado na maratona,Maratona
c9e2374f-bf33-4003-b871-6ecb5ae22aee,doido pra ver as palestras,Palestras
02af807d-7123-444e-b61e-89eaf92be60f,ansioso pelas palestras de tarde,Tarde
02af807d-7123-444e-b61e-89eaf92be60f,ansioso pelas palestras de tarde,Palestras
f436cb6f-b331-4a0c-ba41-567a1f74ef05,felicidades,Felicidades
f436cb6f-b331-4a0c-ba41-567a1f74ef05,boa sorte pro pessoal da setapp,Pro
