usuario,texto,entidade_mencionada
e895817d-40ea-4597-a1bb-4bc2cf6cbe8d,é inspirador ver mulheres ocupando cargos tão importantes dentro da tecnologia 🥰✨,Tecnologia
68e4ebcd-71fa-44a0-bd6b-1baa21fbb915,"abertura linda, evento maravilhoso",Abertura
936c9115-1651-46b3-8773-bdd88526fc2f,"amei a abertura, gamificaçao é tudo",Abertura
e9b594f7-6309-4190-9032-4dde803e2d6a,a palestra da professora michelle wangham está maravilhosa,Palestra
e9b594f7-6309-4190-9032-4dde803e2d6a,a palestra da professora michelle wangham está maravilhosa,Organizacao
e9b594f7-6309-4190-9032-4dde803e2d6a,a palestra da professora michelle wangham está maravilhosa,Professora
e9b594f7-6309-4190-9032-4dde803e2d6a,estou começando a ter interesse,Ideia
e9b594f7-6309-4190-9032-4dde803e2d6a,olhar com mais carinho para a área de cibersegurança🩷,Saudades
e9b594f7-6309-4190-9032-4dde803e2d6a,olhar com mais carinho para a área de cibersegurança🩷,Ciberseguranca🩷
e9b594f7-6309-4190-9032-4dde803e2d6a,olhar com mais carinho para a área de cibersegurança🩷,Area
2c016692-1092-46cc-876c-ed6be5556315,palestra da michele tá massa,Palestra
2c016692-1092-46cc-876c-ed6be5556315,palestra da michele tá massa,Organizacao
8e1a9311-52fe-4567-8c58-70f0e2281925,ameiiii esse livro,Artigos
53e90d93-f0bd-4877-9279-97a086ab6bc5,abertura muito linda,Abertura
53e90d93-f0bd-4877-9279-97a086ab6bc5,sempre bom ver mulheres dominando espaços na educação,Mulheres
53e90d93-f0bd-4877-9279-97a086ab6bc5,sempre bom ver mulheres dominando espaços na educação,Aprendizado
53e90d93-f0bd-4877-9279-97a086ab6bc5,sempre bom ver mulheres dominando espaços na educação,Organizacao
53e90d93-f0bd-4877-9279-97a086ab6bc5,tecnologia 💞,Tecnologia
3406c3d7-f8f1-4db4-9d3f-06b9d53fa541,uma experiência incrível 👏👏👏,Experiencia
262af184-23c3-4cb4-8231-04a142217d69,importância de aprender a conciliar as tarefas do trabalho com a maternidade,Maternidade
262af184-23c3-4cb4-8231-04a142217d69,importância de aprender a conciliar as tarefas do trabalho com a maternidade,Organizacao
262af184-23c3-4cb4-8231-04a142217d69,importância de aprender a conciliar as tarefas do trabalho com a maternidade,Trabalhos
262af184-23c3-4cb4-8231-04a142217d69,ambos de fato valem a pena,Fato
262af184-23c3-4cb4-8231-04a142217d69,ambos de fato valem a pena,Pena
a57c1135-2ebb-4824-9625-c0bce163dddf,a gamificação esse ano está incrível,Gamificacao
da7abf85-cae5-4a1a-83ef-e23b350da886,iniciei agora dentro do evento,Organizacao
f37ffdc2-3f64-4b56-a935-4ddecee92321,muito ver jornadas,Trajetoria
f37ffdc2-3f64-4b56-a935-4ddecee92321,desafios das mulheres no meio acadêmico,Mulheres
f37ffdc2-3f64-4b56-a935-4ddecee92321,desafios das mulheres no meio acadêmico,Desafios
